name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
telangana,2021-07-11,25.1,23.1,24.3,25.1,23.1,24.3,22.8,91.8,6,100,8.33,rain,0,0,,22.7,254,1004,91,4.2,40.5,3.2,2,,2021-07-11T05:48:38,2021-07-11T18:54:36,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-07-12,27.8,22.2,24.8,30,22.2,25.2,22.9,89.3,34,100,8.33,rain,0,0,,22.7,241.9,1004,92.9,4.7,112.3,9.8,6,,2021-07-12T05:48:58,2021-07-12T18:54:31,0.08,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-07-13,26.2,22,23.4,26.2,22,23.4,22.6,95.4,26,100,12.5,rain,0,0,,24.8,253,1004.6,95.6,4,94.3,8.3,4,,2021-07-13T05:49:18,2021-07-13T18:54:25,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,remote,43128099999"
telangana,2021-07-14,27.7,21.1,23.7,30.6,21.1,23.8,22.4,92.8,24,100,16.67,rain,0,0,33.5,16.6,263.5,1004.6,96.9,4.4,122.2,10.5,5,,2021-07-14T05:49:38,2021-07-14T18:54:19,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-15,28,22.5,25,31.9,22.5,25.9,23.1,89.7,49.2,100,12.5,rain,0,0,,11.2,247.3,1004.3,89.6,4.6,131.9,11.6,4,,2021-07-15T05:49:58,2021-07-15T18:54:11,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-16,29.1,23.1,25.4,34.6,23.1,26.3,23.2,88,2,100,4.17,rain,0,0,,13,239.7,1007.4,87.4,4.8,116.3,10.2,6,,2021-07-16T05:50:19,2021-07-16T18:54:02,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-17,32,24,26.8,38.2,24,28.9,23.6,83.2,16,100,8.33,rain,0,0,,18.4,266.1,1007.9,75.4,5.3,202.7,17.6,9,,2021-07-17T05:50:39,2021-07-17T18:53:52,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-07-18,28.2,21.9,25,33,21.9,26,23.7,92.6,38,100,4.17,rain,0,0,,9.4,246.6,1006.4,87.2,4.4,115.7,10.1,6,,2021-07-18T05:50:59,2021-07-18T18:53:41,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-19,27.1,22.1,24.8,29.8,22.1,25.1,22.6,88,2.9,100,16.67,rain,0,0,,14.8,264.5,1006.2,83.1,4.4,112,9.6,3,,2021-07-19T05:51:19,2021-07-19T18:53:29,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-20,27.5,22,24.5,30.3,22,24.8,22.2,87.4,2.4,100,8.33,rain,0,0,,20.5,273,1008.2,92.2,5.2,155.8,13.5,6,,2021-07-20T05:51:38,2021-07-20T18:53:16,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-21,23.6,22,22.4,23.6,22,22.4,21.9,97.3,14,100,20.83,rain,0,0,,41,259.9,1006.8,99.3,4.5,51.9,4.5,2,,2021-07-21T05:51:58,2021-07-21T18:53:02,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-07-22,24.4,21.2,22.5,24.4,21.2,22.5,21.8,96.1,21,100,16.67,rain,0,0,37.1,30.2,259.3,1002.4,100,4.1,27.8,2.3,1,,2021-07-22T05:52:18,2021-07-22T18:52:47,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-23,27,22,23.6,29.7,22,23.8,21.7,89.4,5,100,4.17,rain,0,0,33.5,16.6,265.1,1003.2,97.6,4.7,92.6,8.1,4,,2021-07-23T05:52:38,2021-07-23T18:52:31,0.47,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-24,29.3,22,25.2,32.9,22,26.2,22.3,84.6,0.2,100,8.33,rain,0,0,,15.1,254.2,1004.7,70.3,4.9,205.5,17.8,8,,2021-07-24T05:52:57,2021-07-24T18:52:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-25,29.9,23.8,26.1,34.4,23.8,27.6,22.8,82.3,1,100,4.17,rain,0,0,,18,252.6,1006.1,68.5,5.5,157,13.5,6,,2021-07-25T05:53:16,2021-07-25T18:51:56,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-26,30,23.8,26.5,34.1,23.8,27.9,22.2,78.1,2,100,4.17,rain,0,0,33.5,18.4,262.3,1007,70,5.4,157,13.6,5,,2021-07-26T05:53:35,2021-07-26T18:51:37,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-27,30.3,23,26.5,33.1,23,27.7,21.3,73.9,0,0,0,,0,0,,14.9,262.2,1006.6,69.7,6.1,205.2,17.8,9,,2021-07-27T05:53:54,2021-07-27T18:51:17,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-28,31,23,26.1,34.5,23,27.2,21.4,75.9,0.1,100,4.17,rain,0,0,,18.8,265.6,1007.2,62.3,5.3,206.9,17.9,8,,2021-07-28T05:54:13,2021-07-28T18:50:56,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-29,27.6,23,25.3,30,23,25.8,21.5,79.6,0,0,0,,0,0,,17,266.6,1008.1,82.4,5.4,133.2,11.6,5,,2021-07-29T05:54:31,2021-07-29T18:50:34,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-30,30,22.2,25.4,33.4,22.2,26.1,22.2,83,3,100,8.33,rain,0,0,35.3,22,270.7,1008.6,83.4,5.4,188.5,16.2,8,,2021-07-30T05:54:49,2021-07-30T18:50:11,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,remote,43128099999"
telangana,2021-07-31,28.1,23.6,25.4,30.9,23.6,26.1,21.8,80.8,0,0,0,,0,0,,18.4,268.3,1009.4,86.2,5.4,132.6,11.7,5,,2021-07-31T05:55:07,2021-07-31T18:49:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-01,28,23,25.3,30.4,23,25.8,21.5,79.8,0,0,0,,0,0,,18,266.9,1008.1,72.8,5.2,141.4,12.2,5,,2021-08-01T05:55:25,2021-08-01T18:49:22,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-02,29.6,22.5,25.7,32.7,22.5,26.6,21.4,77.6,0,0,0,,0,0,,16.3,266.4,1008.4,66.1,6,257.1,22.1,10,,2021-08-02T05:55:42,2021-08-02T18:48:56,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-03,29.4,23,25.8,32.1,23,26.6,21.7,78.5,0,0,0,,0,0,,19.5,269.3,1010.1,59.9,6.1,167.1,14.5,6,,2021-08-03T05:56:00,2021-08-03T18:48:29,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-04,29.1,24,26.1,32.4,24,26.9,22,78.7,0,0,0,,0,0,,12.5,260.4,1009.9,68,5.9,132.9,11.5,5,,2021-08-04T05:56:17,2021-08-04T18:48:02,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-05,29.2,23,25.7,32.8,23,26.6,21.7,79.1,0.2,100,4.17,rain,0,0,,22.3,263.6,1007.8,66.8,5.9,168.3,14.6,6,,2021-08-05T05:56:33,2021-08-05T18:47:33,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-08-06,32,23,25.9,36.8,23,26.5,21.9,79.8,1,100,4.17,rain,0,0,,24.8,272.7,1007.2,68.4,5.8,164.7,14.2,6,,2021-08-06T05:56:49,2021-08-06T18:47:04,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-08-07,32,24,27.3,35.8,24,28.9,22,73.9,0,0,0,,0,0,,14.8,271.8,1007.9,43,6,223,19.3,9,,2021-08-07T05:57:06,2021-08-07T18:46:33,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-08,30.9,23.7,27.2,35.5,23.7,29.4,23.5,81,3,100,4.17,rain,0,0,,9.9,264.9,1009.4,80,5.7,213.9,18.6,9,,2021-08-08T05:57:21,2021-08-08T18:46:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-09,32.1,25,27.8,37.7,25,30.2,23,76,0,0,0,,0,0,,13,254.7,1009.9,60.6,6.4,200.2,17.3,9,,2021-08-09T05:57:37,2021-08-09T18:45:30,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-10,30.5,24,26.7,35.9,24,28.1,23.7,83.9,5,100,4.17,rain,0,0,,9.9,280.6,1009.7,67.6,5.1,163.6,14.1,8,,2021-08-10T05:57:52,2021-08-10T18:44:57,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-11,32.3,24.9,27.3,35.9,24.9,28.8,23,78.5,0.3,100,12.5,rain,0,0,,13,290.4,1009.9,67.8,5.5,234.9,20.3,10,,2021-08-11T05:58:07,2021-08-11T18:44:23,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-12,31.2,24,26.7,35.3,24,28.2,22.7,79.6,0.5,100,4.17,rain,0,0,,13,288.6,1010.1,60.2,5.5,216.3,18.8,10,,2021-08-12T05:58:21,2021-08-12T18:43:48,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-13,29.5,24,26.4,32.5,24,27.6,22.8,81.2,10.2,100,25,rain,0,0,,15.5,293.2,1009.2,82.7,5.7,186.4,16,7,,2021-08-13T05:58:35,2021-08-13T18:43:13,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-14,29.5,22.9,25.9,32.3,22.9,26.7,22.3,80.9,0.3,100,8.33,rain,0,0,,19.4,285.4,1007.5,80.2,5.5,202.7,17.5,8,,2021-08-14T05:58:49,2021-08-14T18:42:36,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-08-15,30.5,23,26,33.5,23,26.9,22.1,79.9,0.1,100,4.17,rain,0,0,,11.7,277.7,1007.7,75.1,5.4,201.4,17.5,8,,2021-08-15T05:59:03,2021-08-15T18:41:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-16,26,22,23.6,26,22,23.6,22,90.6,3.5,100,12.5,rain,0,0,,14.8,281.4,1009.1,97.6,4.6,68.9,5.9,3,,2021-08-16T05:59:16,2021-08-16T18:41:22,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-17,24.2,21.2,23.2,24.2,21.2,23.2,22.6,96.4,8.5,100,12.5,rain,0,0,,11.2,273,1008.9,100,4.1,57.7,5.1,2,,2021-08-17T05:59:29,2021-08-17T18:40:43,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-18,25.6,22,23.8,25.6,22,23.8,22.4,92.1,0.4,100,4.17,rain,0,0,,11.3,265.1,1007.2,95.3,4.5,97.8,8.5,5,,2021-08-18T05:59:42,2021-08-18T18:40:04,0.35,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-19,26.5,22,24.4,26.5,22,24.4,22.2,87.7,0.6,100,16.67,rain,0,0,,53.9,277.3,1006.8,83.8,5.1,125,11,5,,2021-08-19T05:59:54,2021-08-19T18:39:24,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-20,26.2,23,24.1,26.2,23,24.1,21.8,86.9,0,0,0,,0,0,,9.7,264.9,1008.4,87.8,5.2,87.1,7.5,3,,2021-08-20T06:00:06,2021-08-20T18:38:44,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-21,27.1,23,24.6,30.4,23,25,22.8,90.1,12,100,4.17,rain,0,0,,9.4,240.2,1010,89.9,4.7,104.1,9,4,,2021-08-21T06:00:18,2021-08-21T18:38:03,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-22,30.9,23,26.3,34.7,23,27.6,22.4,80,0.9,100,20.83,rain,0,0,,11.2,255.1,1010.4,67.3,5.6,215.3,18.6,8,,2021-08-22T06:00:30,2021-08-22T18:37:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-23,31.2,22.2,25.3,36.9,22.2,26.4,22.6,86,54,100,8.33,rain,0,0,,9.4,244.3,1010.3,72.8,4.9,253,22,9,,2021-08-23T06:00:41,2021-08-23T18:36:38,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-24,31.8,22,25.8,37.9,22,27.7,23.2,86.2,7,100,4.17,rain,0,0,,10.8,219.2,1009.6,63.3,5.3,221.5,19.2,8,,2021-08-24T06:00:52,2021-08-24T18:35:55,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-25,29.8,23.3,25.6,34.8,23.3,26.6,23.2,87,5,100,8.33,rain,0,0,,13,271.6,1008.5,64.6,5.4,170,14.7,8,,2021-08-25T06:01:03,2021-08-25T18:35:12,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-08-26,29.6,23,24.9,34.3,23,25.7,22.8,88.5,8.2,100,8.33,rain,0,0,,9.4,284.5,1007.5,84.3,5.2,161.8,14,9,,2021-08-26T06:01:13,2021-08-26T18:34:28,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-27,28,23,24.7,31.7,23,25.3,23,90.7,0.1,100,4.17,rain,0,0,,7.9,276.8,1007,90.8,4.9,114.7,9.9,5,,2021-08-27T06:01:23,2021-08-27T18:33:43,0.65,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-28,27.1,22.1,23.8,30.3,22.1,24.1,22.7,93.3,8,100,4.17,rain,0,0,,9.4,253.8,1005.8,94.2,4.6,199.5,17.1,8,,2021-08-28T06:01:33,2021-08-28T18:32:58,0.69,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-29,29.5,23,24.8,33.6,23,25.7,22.7,88.5,9,100,4.17,rain,0,0,,15.7,284.4,1004.5,91.2,4.9,154.8,13.3,6,,2021-08-29T06:01:43,2021-08-29T18:32:12,0.72,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-30,24.4,22,23,24.4,22,23,22.3,95.8,7.5,100,8.33,rain,0,0,,9.7,277.5,1005.6,99.9,4.7,208.9,18.1,8,,2021-08-30T06:01:53,2021-08-30T18:31:26,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-08-31,25.1,22,23.4,25.1,22,23.4,22.2,93.3,2.5,100,4.17,rain,0,0,,11.2,242.9,1007.3,99.5,4.8,196.5,16.9,7,,2021-08-31T06:02:02,2021-08-31T18:30:40,0.78,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-01,28.9,22,24.7,31.8,22,25,22.4,87.5,5,100,4.17,rain,0,0,,9.4,225.9,1009.5,86.4,5.2,183.1,15.6,6,,2021-09-01T06:02:11,2021-09-01T18:29:53,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-09-02,30.9,22.3,25.5,36.6,22.3,26.8,22.7,85.1,37,100,8.33,rain,0,0,,9.4,231,1008.9,76.2,4.7,223.7,19.4,8,,2021-09-02T06:02:20,2021-09-02T18:29:05,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-09-03,28.1,22,24.3,31.8,22,24.6,22.8,91.6,4,100,4.17,rain,0,0,,13,269.2,1008.1,92.1,4.2,133.6,11.7,5,,2021-09-03T06:02:29,2021-09-03T18:28:18,0.88,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-09-04,28.2,22,24,32.3,22,24.6,22.4,91.1,5,100,8.33,rain,0,0,,13,286,1007.7,88.8,4.9,168.8,14.6,6,,2021-09-04T06:02:37,2021-09-04T18:27:30,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-05,25.9,22,23.8,25.9,22,23.8,22.4,92,12,100,8.33,rain,0,0,,16.6,278.4,1007.1,86.7,4.9,130.6,11.5,6,,2021-09-05T06:02:46,2021-09-05T18:26:41,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-06,24,22.1,22.9,24,22.1,22.9,22.1,94.8,4,100,8.33,rain,0,0,,18.4,275.3,1006.9,98,4.1,76.8,6.7,2,,2021-09-06T06:02:54,2021-09-06T18:25:53,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-07,24.1,22,22.7,24.1,22,22.7,21.8,94.8,7.2,100,8.33,rain,0,0,,24.1,255.4,1005.6,88.1,4.6,195.1,17,8,,2021-09-07T06:03:03,2021-09-07T18:25:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-09-08,27.1,21.3,24.4,29.7,21.3,24.8,22.1,87.7,0,0,0,,0,0,40.7,17.5,235,1007.5,79.2,5.2,278.8,24.1,9,,2021-09-08T06:03:11,2021-09-08T18:24:14,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,43128099999,VOHS"
telangana,2021-09-09,29,22.2,25.3,31.4,22.2,26,21.8,81.6,0,0,0,,0,0,44.6,18.4,261.4,1009.5,65.3,5.5,278.2,24.1,9,,2021-09-09T06:03:19,2021-09-09T18:23:25,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-10,28.3,22,25.4,31.2,22,26.1,21.8,80.8,0,0,0,,0,0,,18.4,268.3,1009.1,73.5,5.4,250.5,21.7,9,,2021-09-10T06:03:27,2021-09-10T18:22:35,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-11,28.3,23,25.2,31.7,23,26,22.2,83.5,0,0,0,,0,0,37.1,22.3,261,1007.6,86.7,5.6,200.9,17.6,7,,2021-09-11T06:03:34,2021-09-11T18:21:45,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-12,28.3,22.2,24.9,31.5,22.2,25.4,22.1,84.6,0,0,0,,0,0,33.5,19.3,261.3,1006.1,82.6,5.6,178.5,15.5,7,,2021-09-12T06:03:42,2021-09-12T18:20:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
telangana,2021-09-13,28.6,23,25.1,32.4,23,25.7,22.3,84.7,3,100,4.17,rain,0,0,40.7,24.1,255,1004.7,88.5,5.3,150.8,13,6,,2021-09-13T06:03:50,2021-09-13T18:20:05,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
